,ID,lat,long,Sea_level.mm,C,year
8027,183,43.657,-70.247,6982,N,1924
1839,127,47.602,-122.338,6925,N,1924
4532,188,24.555,-81.807,7003,N,1924
6416,224,38.782,-75.12,NA,N,1924
123,155,21.307,-157.867,6949,N,1924
3665,161,29.31,-94.793,6810,N,1924
5009,112,30.672,-81.465,NA,N,1924
4237,199,29.133,-83.033,6941,N,1924
7837,235,42.353,-71.053,6932,N,1924
2485,10,37.807,-122.465,6874,N,1924
6230,148,39.267,-76.578,6884,N,1924
6745,180,39.355,-74.418,6813,N,1924
5190,234,32.782,-79.925,6884,N,1924
6552,135,39.933,-75.142,6733,N,1925
2986,245,33.72,-118.272,7010,N,1925
7838,235,42.353,-71.053,6909,N,1925
3666,161,29.31,-94.793,6803,N,1925
6746,180,39.355,-74.418,6787,N,1925
4036,246,30.403,-87.21,6897,N,1925
6231,148,39.267,-76.578,6844,N,1925
8028,183,43.657,-70.247,6956,N,1925
1840,127,47.602,-122.338,6986,N,1925
2486,10,37.807,-122.465,6934,N,1925
1977,265,46.207,-123.768,6962,Y,1925
7019,12,40.7,-74.013,6831,N,1925
6417,224,38.782,-75.12,NA,N,1925
4774,270,29.233,-81.0,6926,N,1925
3237,158,32.713,-117.173,6959,N,1925
4533,188,24.555,-81.807,7010,N,1925
4238,199,29.133,-83.033,6982,N,1925
3126,256,32.867,-117.257,6938,N,1925
1434,225,55.332,-131.625,7071,N,1925
5191,234,32.782,-79.925,6905,N,1925
124,155,21.307,-157.867,6997,N,1925
5010,112,30.672,-81.465,NA,N,1925
3127,256,32.867,-117.257,6964,N,1926
6232,148,39.267,-76.578,6849,N,1926
6418,224,38.782,-75.12,NA,N,1926
2487,10,37.807,-122.465,6937,N,1926
6747,180,39.355,-74.418,6799,N,1926
1435,225,55.332,-131.625,7112,N,1926
4534,188,24.555,-81.807,6992,N,1926
5011,112,30.672,-81.465,NA,N,1926
1841,127,47.602,-122.338,6990,N,1926
1978,265,46.207,-123.768,6937,N,1926
7839,235,42.353,-71.053,6919,N,1926
5192,234,32.782,-79.925,6839,N,1926
4775,270,29.233,-81.0,6878,N,1926
7020,12,40.7,-74.013,6828,N,1926
3667,161,29.31,-94.793,6811,N,1926
3238,158,32.713,-117.173,NA,N,1926
8029,183,43.657,-70.247,6950,N,1926
6553,135,39.933,-75.142,6755,N,1926
2987,245,33.72,-118.272,7009,N,1926
4037,246,30.403,-87.21,6912,N,1926
125,155,21.307,-157.867,6983,N,1926
7840,235,42.353,-71.053,6952,N,1927
4776,270,29.233,-81.0,6894,N,1927
2988,245,33.72,-118.272,6988,N,1927
4038,246,30.403,-87.21,6925,N,1927
3668,161,29.31,-94.793,6894,N,1927
6554,135,39.933,-75.142,6841,N,1927
7930,288,43.08,-70.742,6938,N,1927
5193,234,32.782,-79.925,6860,N,1927
1979,265,46.207,-123.768,7025,N,1927
6233,148,39.267,-76.578,6882,N,1927
2488,10,37.807,-122.465,6927,N,1927
7021,12,40.7,-74.013,6864,N,1927
1436,225,55.332,-131.625,7064,N,1927
371,300,19.73,-155.055,6888,N,1927
3239,158,32.713,-117.173,6944,N,1927
126,155,21.307,-157.867,6954,N,1927
6748,180,39.355,-74.418,6848,N,1927
3128,256,32.867,-117.257,6937,N,1927
6419,224,38.782,-75.12,NA,N,1927
5012,112,30.672,-81.465,NA,N,1927
1842,127,47.602,-122.338,6998,N,1927
8030,183,43.657,-70.247,6986,N,1927
4535,188,24.555,-81.807,7027,N,1927
3669,161,29.31,-94.793,6834,N,1928
1843,127,47.602,-122.338,6980,N,1928
