Name,Year,Dates,Surge_FT,Surge_M,Storm_Tide_FT,Storm_Tide_M,Location,State,Lat,Lon,Confidence
Chantal,1989,Jul 30- Aug 3,,,7,2.13,High Island,TX,29.5506,-94.3858,3
Jerry,1989,Oct 12-16,,,7,2.13,Baytown,TX,29.7219,-95.0075,2
Marco,1990,Oct 9-13,2.5,,,,Sanibel Island,FL,26.4375,-82.0386,3
Andrew,1992,Aug 16-28,,,13.12,4,North Highland Beach,FL,25.4977,-81.2006,2
Andrew,1992,Aug 16-28,,,10.17,3.1,Bay Couteau,LA,29.2305,-90.6693,2
Arlene,1993,Jun 18-21,,,4.5,1.37,Palacios (PSX),TX,28.6984,-96.2162,2
Alberto,1994,Jun 30- Jul 7,,,5,1.52,Okaloosa Island to Destin,FL,30.3897,-86.5497,2
Beryl,1994,Aug 14-19,2.9,0.88,,,Apalachicola,FL,29.7267,-84.9817,3
Gordon,1994,Nov 8-21,,,4,1.22,Upper FL Keys,FL,25.0108,-80.5139,2
Allison,1995,Jun 3-11,8,2.44,,,Wakulla through Dixie Counties,FL,29.9801,-83.8086,2
Erin,1995,Jul 31- Aug 6,,,6.56,2,Navarre Beach,FL,30.3793,-86.8625,2
Jerry,1995,Aug 22-28,,,1.5,0.46,Florida West Coast,FL,28.7547,-82.6444,2
Opal,1995,Sep 27- Oct 6,,,14.5,4.42,Hollywood Beach,FL,30.2594,-85.9697,2
Josephine,1996,Oct 4-8,,,9.3,2.83,Suwannee,FL,29.3226,-83.1437,3
Lili,1996,Oct 14-29,6,1.83,,,Florida Keys,FL,24.5617,-81.6811,2
Danny,1997,Jul 16-27,,,5.4,1.65,Grand Isle,LA,29.2366,-89.9873,2
Charley,1998,Aug 21-24,,,4.92,1.5,Galveston Pleasure Pier,TX,29.285,-94.7883,3
Earl,1998,Aug 31- Sep 8,8,2.44,,,"Franklin, Wakulla, Jefferson and Taylor Counties",FL,29.8053,-84.7333,2
Frances,1998,Sep 8-13,,,8,2.44,Matagorda Locks and Sargeant Swing Bridge,TX,28.6803,-95.9801,2
Georges,1998,Sep 15- Oct 1,,,12.14,3.7,Mississippi Coast,MS,30.3911,-88.9737,2
Georges,1998,Sep 15- Oct 1,,,7.55,2.3,Florida Keys,FL,24.5594,-81.6847,2
Mitch,1998,Oct 22- Nov 9,,,4,1.22,Lower Florida Keys,FL,24.5572,-81.7092,2
Bret,1999,Aug 18-25,,,7,2.13,Port Mansfield Pass,TX,26.5628,-97.2764,2
Harvey,1999,Sep 19-22,,,2.5,0.76,Charlotte County,FL,26.8778,-82.0632,2
Irene,1999,Oct 12-19,1.97,0.6,,,Vaca Key,FL,24.7117,-81.105,2
Gordon,2000,Sep 14-21,5,1.52,,,Bellair Beach,FL,27.9232,-82.8444,2
Helene,2000,Sep 15-25,1,0.3,,,"Panama City Beach, Pensacola Beach, Destin Airport",FL,30.3968,-86.4709,3
Allison,2001,Jun 5-19,3,0.91,,,Galveston Island (Western Region),TX,29.1813,-94.9717,2
Barry,2001,Aug 2-8,,,3,0.91,"Bay and Walton Counties, FL/ SE LA",FL/ LA,30.3339,-86.185,2
Gabrielle,2001,Sep 11-21,6.56,2,,,Charlotte and Lee Counties,FL,26.7696,-82.0615,2
Michelle,2001,Oct 29- Nov 6,3,0.91,,,Florida Keys,FL,24.661,-81.3566,2
Bertha,2002,Aug 4-9,2.12,0.65,,,Waveland,MS,30.325,-89.325,3
Fay,2002,Sep 5-11,3,0.91,,,TX coast,TX,28.8303,-95.4981,2
Hanna,2002,Sep 12-15,,,5.1,1.55,Gulfport Harbor,MS,30.3614,-89.0928,3
Isidore,2002,Sep 14-27,8.3,2.53,,,Rigolets,LA,30.1733,-89.7274,3
Lili,2002,Sep 21- Oct 4,,,12.3,3.75,Crewboat Channel (Calumet),LA,29.5742,-91.4206,2
Bill,2003,Jun 28- Jul 3,5.54,1.69,,,Bayou Bienvenue,LA,30.0038,-89.8576,2
Claudette,2003,Jul 7-17,,,9.15,2.79,Freeport USGS,TX,28.9211,-95.3869,2
Grace,2003,Aug 30- Sep 2,2,0.61,,,Galveston Island,TX,29.2906,-94.7866,2
Bonnie,2004,Aug 3-14,1.9,0.58,5.21,,Cedar Key (NOS),FL,29.135,-83.0317,3
Charley,2004,Aug 9-15,,,9.4,2.87,Fort Myers Beach,FL,26.4506,-81.9496,3
Frances,2004,Aug 25- Sep 10,,,6,1.83,Pinellas County,FL,27.8044,-82.807,2
Ivan,2004,Sep 2-24,15,4.57,,,"Destin, FL to Mobile, AL",FL/ AL,30.3422,-87.3106,2
Ivan,2004,Sep 2-24,1.7,0.52,,,Calcasieu Pass- East Jetty,LA,29.7683,-93.3433,2
Jeanne,2004,Sep 13-29,3.5,1.07,,,Cedar Key,FL,29.1363,-83.0373,2
Matthew,2004,Oct 8-11,5.85,1.78,,,Frenier (NWS),LA,30.1076,-90.4268,3
Arlene,2005,Jun 8-14,5,1.52,,,Walton County,FL,30.3339,-86.185,3
Cindy,2005,Jul 3-11,,,7,2.16,Fort Morgan,AL,30.2328,-87.9534,2
Dennis,2005,Jul 4-18,3.38,1.03,4.84,1.48,McKay Bay (Entrance),FL,27.9133,-82.425,3
Dennis,2005,Jul 4-18,,,10.5,3.2,Navarre Beach to Panama City,FL,30.369,-86.3266,3
Emily,2005,Jul 11-21,,,5,1.52,Boca Chica Beach,TX,26.0168,-97.152,3
Katrina,2005,Aug 23-31,4,1.22,,,Extreme SW Florida,FL,25.1294,-81.0369,2
Katrina,2005,Aug 23-31,,,28,8.53,Hancock County EOC,MS,30.2721,-89.376,2
Rita,2005,Sep 18-26,,,17.8,5.43,Cameron Parish,LA,29.7867,-93.1837,3
Rita,2005,Sep 18-26,,,5,1.52,Key West (KEYW),FL,24.5546,-81.7638,3
Wilma,2005,Oct 15-26,,,15.5,4.72,Lostman's Ranger Station to Big Sable Creek,FL,25.4432,-81.1564,2
Alberto,2006,Jun 10-19,6,1.83,,,Homosassa,FL,28.7829,-82.6206,2
Ernesto,2006,Aug 24- Sep 4,1,0.3,,,Vaca Key and Naples Pier,FL,24.7117,-81.105,2
Erin,2007,Aug 15-19,3.1,0.94,,,"Jamaica Beach, Western Galveston Island",TX,29.1815,-94.9716,3
Humberto,2007,Sep 12-14,,,4.87,1.48,Texas Point TCOON Tide Gage,TX,29.6781,-93.8369,2
Dolly,2008,Jul 20-27,4,1.22,,,"S Padre Is., Port Mansfield, Brownsville",TX,26.3533,-97.2094,2
Fay,2008,Aug 15-28,5,1.52,,,Everglades City,FL,25.8456,-81.3878,2
Gustav,2008,Aug 25- Sep 5,12.5,3.81,13.63,4.15,Northeast Bay Gardene,LA,29.5858,-89.606,3
Gustav,2008,Aug 25- Sep 5,1,0.31,1.5,0.46,Vaca Key,FL,24.7117,-81.105,2
Ike,2008,Sep 1-15,1.86,,3.25,,Fort Myers,FL,26.647,-81.872,2
Ike,2008,Sep 1-15,,,17.5,5.33,Chambers County,TX,29.704,-94.4837,3
Claudette,2009,Aug 16-18,3,0.91,3.5,,Indian Pass,FL,29.6799,-85.2271,3
Ida,2009,Nov 4-10,6.53,1.99,7.33,,Bay Gardene,LA,29.5983,-89.6183,3
Alex,2010,Jun 25- Jul 2,4.94,1.51,5.31,,Port Lavaca,TX,28.6178,-96.6205,3
Hermine,2010,Sep 6-9,3.4,1.04,4.2,,Port Lavaca,TX,28.6178,-96.6205,3
Don,2011,Jul 27-30,1.89,0.58,2.54,0.77,Corpus Christi Bob Hall Pier,TX,27.58,-97.2167,3
Lee,2011,Sep 2-5,,,6.25,1.91,Seabrook Bridge,LA,30.031,-90.037,2
